Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPX    APR2022 4300 P [SPXW  220429P04300000 100],2,USD,132.8245544,26564.91,123.5542635,1854.06,0.00,No,OPT,-266839.88
SPX    APR2022 4000 P [SPXW  220429P04000000 100],-4,USD,84.0201034,-33608.04,82.2374865,-713.05,0.00,No,OPT,332812.31
SPX    APR2022 3250 P [SPXW  220429P03250000 100],2,USD,28.01581,5603.16,27.5892635,85.31,0.00,No,OPT,-51189.03
SPX    APR2022 4325 P [SPX   220414P04325000 100],2,USD,124.9166336,24983.33,109.4212135,3099.08,0.00,No,OPT,-269833.10
SPX    APR2022 4200 P [SPX   220414P04200000 100],2,USD,102.1205291,20424.11,118.2114235,-3218.18,0.00,No,OPT,-219179.13
SPX    APR2022 4075 P [SPX   220414P04075000 100],2,USD,83.526146,16705.23,120.6314235,-7421.06,0.00,No,OPT,-177944.14
SPX    APR2022 4050 P [SPX   220414P04050000 100],-4,USD,80.2282028,-32091.28,78.6887865,-615.77,0.00,No,OPT,341305.61
SPX    APR2022 3900 P [SPX   220414P03900000 100],-4,USD,63.102623,-25241.05,62.8887865,-85.53,0.00,No,OPT,265679.63
SPX    APR2022 3800 P [SPX   220414P03800000 100],-4,USD,53.8919297,-21556.77,53.8387865,-21.26,0.00,No,OPT,224854.22
SPX    APR2022 3350 P [SPX   220414P03350000 100],2,USD,27.3881454,5477.63,24.4512135,587.39,0.00,No,OPT,-53874.59
SPX    APR2022 3150 P [SPX   220414P03150000 100],2,USD,20.4764538,4095.29,23.8614235,-676.99,0.00,No,OPT,-39016.10
SPX    APR2022 2775 P [SPX   220414P02775000 100],4,USD,11.7804423,4712.18,15.8614235,-1632.39,0.00,No,OPT,-42526.24
SPX    MAR2022 4100 P [SPXW  220331P04100000 100],2,USD,75.4909363,15098.19,113.6327235,-7628.36,0.00,No,OPT,-174649.42
SPX    MAR2022 3850 P [SPXW  220331P03850000 100],-2,USD,49.3304558,-9866.09,50.2074865,175.41,0.00,No,OPT,111877.64
SPX    MAR2022 3825 P [SPXW  220331P03825000 100],-2,USD,47.3142891,-9462.86,48.0874865,154.64,0.00,No,OPT,107071.55
SPX    MAR2022 3175 P [SPXW  220331P03175000 100],2,USD,17.1564789,3431.30,25.5127235,-1671.25,0.00,No,OPT,-35234.92
SPX    MAR2022 4025 P [SPX   220318P04025000 100],2,USD,56.8845825,11376.92,113.9314235,-11409.37,0.00,No,OPT,-141780.66
SPX    MAR2022 3825 P [SPX   220318P03825000 100],2,USD,40.0973587,8019.47,36.5312135,713.23,0.00,No,OPT,-97576.10
SPX    MAR2022 3775 P [SPX   220318P03775000 100],-4,USD,36.7970124,-14718.80,37.8837865,434.71,0.00,No,OPT,177921.34
SPX    MAR2022 3625 P [SPX   220318P03625000 100],-4,USD,28.7195072,-11487.80,29.6587865,375.71,0.00,No,OPT,135597.58
SPX    MAR2022 3100 P [SPX   220318P03100000 100],2,USD,12.5281715,2505.63,12.1412135,77.39,0.00,No,OPT,-27044.14
SPX    MAR2022 2725 P [SPX   220318P02725000 100],4,USD,7.0975542,2839.02,12.8114235,-2285.55,0.00,No,OPT,-28363.66
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,1.6698947,333.98,2.3612135,-138.26,0.00,No,OPT,-3862.70
SPX    JAN2022 2800 P [SPXW  220131P02800000 100],1,USD,1.8463583,184.64,4.616224,-276.99,0.00,No,OPT,-2661.54
SPX    JAN2022 2750 P [SPXW  220131P02750000 100],1,USD,1.6659355,166.59,4.216014,-255.01,0.00,No,OPT,-2401.14
SPX    JAN2022 2600 P [SPXW  220131P02600000 100],2,USD,1.2191372,243.83,2.2910135,-214.38,0.00,No,OPT,-3443.40
SPX    JAN2022 3000 P [SPXW  220128P03000000 100],1,USD,2.581996,258.20,3.116014,-53.40,0.00,No,OPT,-3909.78
SPX    JAN2022 2850 P [SPX   220121P02850000 100],1,USD,1.1693962,116.94,3.914714,-274.53,0.00,No,OPT,-1900.69
SPX    JAN2022 2450 P [SPX   220121P02450000 100],2,USD,0.5011779,100.24,2.6649235,-432.75,0.00,No,OPT,-1470.18
SPX    JAN2022 2700 P [SPXW  220114P02700000 100],1,USD,0.5542575,55.43,4.516014,-396.18,0.00,No,OPT,-942.29

Cash Balances
USD,175359,USD
Total (in USD),175359,USD

