Portfolio
Account,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
U4638981,SPX    APR2022 4300 P [SPXW  220429P04300000 100],CBOE,2,USD,114.0991287,22819.83,123.5542635,-1891.03,0.00,No,OPT,-244622.80
U4638981,SPX    APR2022 4025 P [SPXW  220429P04025000 100],CBOE,-4,USD,73.0954438,-29238.18,74.0574865,384.82,0.00,No,OPT,309621.99
U4638981,SPX    APR2022 3400 P [SPXW  220429P03400000 100],CBOE,2,USD,28.4175949,5683.52,35.1125135,-1338.98,0.00,No,OPT,-55690.23
U4638981,SPX    APR2022 4325 P [SPX   220414P04325000 100],CBOE,2,USD,105.740303,21148.06,109.4212135,-736.18,0.00,No,OPT,-245516.93
U4638981,SPX    APR2022 4200 P [SPX   220414P04200000 100],CBOE,2,USD,85.1777572,17035.55,118.2114235,-6606.73,0.00,No,OPT,-196743.74
U4638981,SPX    APR2022 4075 P [SPX   220414P04075000 100],CBOE,-2,USD,68.7549362,-13750.99,68.4487865,-61.23,-10648.53,No,OPT,157487.39
U4638981,SPX    APR2022 3900 P [SPX   220414P03900000 100],CBOE,-4,USD,51.2128219,-20485.13,62.8887865,4670.39,0.00,No,OPT,231039.47
U4638981,SPX    APR2022 3800 P [SPX   220414P03800000 100],CBOE,-4,USD,43.5382767,-17415.31,53.8387865,4120.20,0.00,No,OPT,193866.62
U4638981,SPX    APR2022 3500 P [SPX   220414P03500000 100],CBOE,2,USD,27.2013206,5440.26,27.1812135,4.02,0.00,No,OPT,-58094.87
U4638981,SPX    APR2022 3150 P [SPX   220414P03150000 100],CBOE,2,USD,16.4437886,3288.76,23.8614235,-1483.53,0.00,No,OPT,-32886.19
U4638981,SPX    APR2022 3100 P [SPX   220414P03100000 100],CBOE,2,USD,15.3212442,3064.25,15.3512135,-5.99,0.00,No,OPT,-30374.06
U4638981,SPX    MAR2022 4100 P [SPXW  220331P04100000 100],CBOE,2,USD,60.0136872,12002.74,113.6327235,-10723.81,0.00,No,OPT,-151603.12
U4638981,SPX    MAR2022 3850 P [SPXW  220331P03850000 100],CBOE,-2,USD,38.2904701,-7658.09,50.2074865,2383.40,0.00,No,OPT,94075.95
U4638981,SPX    MAR2022 3825 P [SPXW  220331P03825000 100],CBOE,-2,USD,36.6267777,-7325.36,48.0874865,2292.14,0.00,No,OPT,89716.63
U4638981,SPX    MAR2022 3175 P [SPXW  220331P03175000 100],CBOE,2,USD,13.1836138,2636.72,25.5127235,-2465.82,0.00,No,OPT,-28768.40
U4638981,SPX    MAR2022 4025 P [SPX   220318P04025000 100],CBOE,2,USD,43.4736786,8694.74,113.9314235,-14091.55,0.00,No,OPT,-118991.35
U4638981,SPX    MAR2022 3825 P [SPX   220318P03825000 100],CBOE,2,USD,29.9986096,5999.72,36.5312135,-1306.52,0.00,No,OPT,-79809.36
U4638981,SPX    MAR2022 3775 P [SPX   220318P03775000 100],CBOE,-4,USD,27.4633503,-10985.34,37.8837865,4168.17,0.00,No,OPT,144955.56
U4638981,SPX    MAR2022 3625 P [SPX   220318P03625000 100],CBOE,-4,USD,21.2681389,-8507.26,29.6587865,3356.26,0.00,No,OPT,109011.65
U4638981,SPX    MAR2022 3100 P [SPX   220318P03100000 100],CBOE,2,USD,9.6141958,1922.84,12.1412135,-505.40,0.00,No,OPT,-21926.39
U4638981,SPX    FEB2022 2350 P [SPX   220218P02350000 100],CBOE,2,USD,1.1261299,225.23,2.3612135,-247.02,0.00,No,OPT,-2665.20
U4638981,SPX    JAN2022 2800 P [SPXW  220131P02800000 100],CBOE,1,USD,1.0466329,104.66,4.616224,-356.96,0.00,No,OPT,-1641.80
U4638981,SPX    JAN2022 2750 P [SPXW  220131P02750000 100],CBOE,1,USD,0.9117903,91.18,4.216014,-330.42,0.00,No,OPT,-1436.11
U4638981,SPX    JAN2022 2600 P [SPXW  220131P02600000 100],CBOE,2,USD,0.6453585,129.07,2.2910135,-329.13,0.00,No,OPT,-2005.75
U4638981,SPX    JAN2022 3000 P [SPXW  220128P03000000 100],CBOE,1,USD,1.4257762,142.58,3.116014,-169.02,0.00,No,OPT,-2384.71
U4638981,SPX    JAN2022 2850 P [SPX   220121P02850000 100],CBOE,1,USD,0.490456,49.05,3.914714,-342.43,0.00,No,OPT,-934.72
U4638981,SPX    JAN2022 2450 P [SPX   220121P02450000 100],CBOE,2,USD,0.1918816,38.38,2.6649235,-494.61,0.00,No,OPT,-597.26
U4638981,SPX    JAN2022 2700 P [SPXW  220114P02700000 100],CBOE,1,USD,0.1719823,17.20,4.516014,-434.40,0.00,No,OPT,-388.87

Cash Balances
USD,,175793,USD
Total (in USD),,175793,USD

