Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPX    APR2022 4200 P [SPX   220414P04200000 100],0,USD,176.9497223,0.00,0.00,null,11727.43,No,OPT,0.00
SPX    APR2022 3900 P [SPX   220414P03900000 100],0,USD,103.6491242,0.00,0.00,null,-13881.13,No,OPT,0.00
SPX    APR2022 3300 P [SPX   220414P03300000 100],0,USD,37.9223175,0.00,0.00,null,-842.57,No,OPT,0.00
SPX    MAR2022 4025 P [SPX   220318P04025000 100],2,USD,99.1387177,19827.74,113.9314235,-2958.54,0.00,No,OPT,-239162.76
SPX    MAR2022 3825 P [SPX   220318P03825000 100],2,USD,64.5765152,12915.30,36.5312135,5609.06,0.00,No,OPT,-157898.10
SPX    MAR2022 3775 P [SPX   220318P03775000 100],-2,USD,58.1738167,-11634.76,37.8087865,-4073.01,0.00,No,OPT,140958.45
SPX    MAR2022 3625 P [SPX   220318P03625000 100],-4,USD,42.9771843,-17190.87,29.6587865,-5327.36,0.00,No,OPT,209057.29
SPX    MAR2022 3575 P [SPX   220318P03575000 100],-2,USD,39.0587502,-7811.75,12.1385865,-5384.03,0.00,No,OPT,94333.15
SPX    MAR2022 3300 P [SPX   220318P03300000 100],2,USD,24.0110436,4802.21,29.8614135,-1170.07,0.00,No,OPT,-55559.75
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,1.1146488,222.93,2.3612135,-249.31,0.00,No,OPT,-3049.68
SPX    JAN2022 2800 P [SPXW  220131P02800000 100],1,USD,0.2653844,26.54,4.616224,-435.08,0.00,No,OPT,-625.58
SPX    JAN2022 2750 P [SPXW  220131P02750000 100],1,USD,0.2414217,24.14,4.216014,-397.46,0.00,No,OPT,-509.37
SPX    JAN2022 2600 P [SPXW  220131P02600000 100],2,USD,0.0919254,18.39,2.2910135,-439.82,0.00,No,OPT,-555.74
SPX    JAN2022 3000 P [SPXW  220128P03000000 100],1,USD,0.30,30.00,3.116014,-281.60,0.00,No,OPT,-785.62

Cash Balances
USD,170574,USD
Total (in USD),170574,USD

