ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,"IB1",12/3/2021,285,"244+1lp 2021-10-11 11:37",SPX,Open,Custom,10/11/2021 11:37 AM,,53,105,701771.30,55.58,14953.24,2.13
,,"IB1",285,10/11/2021 11:37:32 AM,Buy,4,SPX   220319P02725000,3/18/2022,Put,SPX Mar22 2725 Put,SPX,12.8,4.56
,,"IB1",285,10/11/2021 11:37:32 AM,Buy,2,SPX   220319P04025000,3/18/2022,Put,SPX Mar22 4025 Put,SPX,113.92,2.28
,,"IB1",285,10/11/2021 11:37:32 AM,Sell,4,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,68.77,4.56
,,"IB1",285,10/11/2021 3:58:48 PM,Buy,1,SPXW  211204P03000000,12/3/2021,Put,SPX Dec21 3000 Put,SPX,2.7,1.5
,,"IB1",285,10/14/2021 11:58:25 AM,Buy,2,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,60.2,2.28
,,"IB1",285,10/14/2021 11:58:25 AM,Sell,2,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,62.8,2.28
,,"IB1",285,10/19/2021 10:57:20 AM,Buy,2,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,52.1,2.28
,,"IB1",285,10/19/2021 10:57:20 AM,Sell,2,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,54.3,2.28
,,"IB1",285,10/20/2021 4:20:32 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4536.19,0.015
,,"IB1",285,10/21/2021 10:07:15 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4526,0.015
,,"IB1",285,10/21/2021 10:57:10 AM,Buy,2,SPX,,Stock,SPX Stock,SPX,4537.82,0.01
,,"IB1",285,10/21/2021 11:27:45 AM,Sell,2,SPX,,Stock,SPX Stock,SPX,4531.37,0.01
,,"IB1",285,10/26/2021 2:29:50 PM,Buy,4,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,45.83,4.56
,,"IB1",285,10/26/2021 2:29:50 PM,Sell,4,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,43.93,4.56
,,"IB1",285,10/26/2021 3:30:50 PM,Buy,4,SPX,,Stock,SPX Stock,SPX,4583.82,0.02
,,"IB1",285,11/5/2021 10:11:23 AM,Sell,1,SPXW  211204P03000000,12/3/2021,Put,SPX Dec21 3000 Put,SPX,0.4,1.51
,,"IB1",285,11/9/2021 12:23:43 PM,Sell,4,SPX,,Stock,SPX Stock,SPX,4677,0.02
,,"IB1",285,11/12/2021 11:00:38 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4661.8,0.005
,,"IB1",285,11/16/2021 3:40:08 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4709.21,0.015
,,"IB1",285,11/26/2021 9:39:08 AM,Sell,4,SPX,,Stock,SPX Stock,SPX,4694.48,0.02
,,"IB1",285,12/7/2021 12:17:30 PM,Buy,2,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,34.775,2.28
,,"IB1",285,12/7/2021 12:17:30 PM,Sell,2,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,36.125,2.28
,,"IB1",285,12/7/2021 12:19:04 PM,Buy,2,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,35.075,2.28
,,"IB1",285,12/7/2021 12:19:04 PM,Sell,2,SPX   220319P03775000,3/18/2022,Put,SPX Mar22 3775 Put,SPX,37.925,2.28
,,"IB1",285,12/7/2021 12:21:21 PM,Buy,2,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,36.35,2.28
,,"IB1",285,12/7/2021 12:21:21 PM,Sell,2,SPX   220319P03775000,3/18/2022,Put,SPX Mar22 3775 Put,SPX,37.8,2.28
,,"IB1",285,12/22/2021 11:24:56 AM,Sell,4,SPX   220319P02725000,3/18/2022,Put,SPX Mar22 2725 Put,SPX,5.5,4.56
,,"IB1",285,1/5/2022 3:30:47 PM,Buy,2,SPX   220319P03775000,3/18/2022,Put,SPX Mar22 3775 Put,SPX,17.4,2.28
,,"IB1",285,1/5/2022 3:30:47 PM,Sell,2,SPX   220319P03575000,3/18/2022,Put,SPX Mar22 3575 Put,SPX,12.15,2.28

,"IB1",12/17/2021,287,"244+1lp 2021-10-18 11:29",SPX,Closed,Custom,10/18/2021 11:06 AM,12/31/2021 10:30 AM,60,74,149317.30,48.10,1387.66,0.93
,,"IB1",287,10/18/2021 11:06:28 AM,Buy,4,SPX   220414P02775000,4/14/2022,Put,SPX Apr22 2775 Put,SPX,15.85,4.57
